Gate_1,Gate_2,Delay,θ1,θ2
1,1,20000,0.5382456204812262,-0.6072441906873441
1,2,20000,-0.06887897379622884,1.3079421974801175
2,0,20000,0.9673065884194412,0.25771339639092494
2,1,20000,0.34404071779558176,0.027830838932880915
2,2,20000,0.4322623184461157,1.711194012448691
0,0,21000,-0.42325083562101096,0.16337621844794725
0,1,21000,0.041038760105801285,-0.1775737663226752
0,2,21000,-0.0015286206272287326,0.6507164323907004
1,0,21000,0.028486450836823222,-0.2475517042856641
1,1,21000,1.9462594071417056,1.1505711175277018
1,2,21000,-0.07262257463996737,0.44924846765114584
2,0,21000,0.50611277245,0.01337497332592021
2,1,21000,0.1574676563667363,-0.042376214299917746
2,2,21000,1.2508060237804755,0.19386177407907035
0,0,22000,-0.6218317461309365,0.7470068861208072
0,1,22000,0.008358199809033153,0.03702853948545825
0,2,22000,0.10316240336759877,0.5170384046921438
1,0,22000,0.03143294907556258,-0.03469343811030856
1,1,22000,1.4942007009956428,1.636871885090068
1,2,22000,-0.046000716422561136,1.2996211780585922
2,0,22000,-0.7788820351227459,-0.14432141971319903
2,1,22000,2.1214296645697224,0.11420815697171932
2,2,22000,1.7751608281925246,0.0984892595029074
0,0,23000,1.1916806359654526,1.9724005710971777
0,1,23000,-0.025615921528960472,0.03621311023691354
0,2,23000,0.00034732677703182166,1.1247835297280784
1,0,23000,0.1753436516067996,0.04490894704416535
1,1,23000,-0.11270645190768269,0.060569347600839034
1,2,23000,-0.13886603860015106,0.48893609153172446
2,0,23000,0.6179215247697264,0.2085973057303473
2,1,23000,0.9823402884139112,0.0010604949980672336
2,2,23000,2.6098271412376386,0.15620281450740964
0,0,24000,1.3747380400363542,1.864148303886252
0,1,24000,-0.20677835482768286,0.026857602064742036
0,2,24000,0.0166392433915868,0.01922892163371514
1,0,24000,-0.0975883411582709,-0.2606813040709412
1,1,24000,-0.05621265160346666,-0.12387133645583771
1,2,24000,-0.1028916056175396,1.7380682399448713
2,0,24000,1.6712480645729035,0.1855279409677713
2,1,24000,-0.17170259392142875,0.008003315473108202
2,2,24000,3.8674624362400527,2.95995548967045
0,0,25000,1.8901770331610857,1.3003071751860105
0,1,25000,0.13893247957816102,0.08079748390528058
0,2,25000,0.14827927479537084,1.9882089885876069
1,0,25000,-0.1284936172051035,0.1977216953018681
1,1,25000,1.8042774188379451,1.492186600804045
1,2,25000,0.01941836479827976,0.24487690007815915
2,0,25000,0.17339264366676685,-0.008619361593130336
2,1,25000,0.11884726156164213,-0.23293099759967717
2,2,25000,1.7785559155776594,-0.49091240744203984
0,0,26000,1.3841078437298222,1.809917577147885
0,1,26000,0.061756030371725674,0.14027154689114754
0,2,26000,0.07205506198069953,0.26965783061732224
1,0,26000,-0.0815777826762888,0.04839505537978747
1,1,26000,-0.30733273334260786,0.4317887857525956
1,2,26000,0.10796610910560932,0.477134469293635
2,0,26000,1.2523056619838326,-0.09996493778870193
2,1,26000,2.4438516192984587,-0.07688681798354202
2,2,26000,0.9244107052845382,0.5384491214372936
0,0,27000,0.01439859438045946,0.017576433195047193
0,1,27000,0.07674980973166548,-0.006005437517368063
0,2,27000,0.26929753151370117,-0.6387381742474638
1,0,27000,-0.22614935085026372,0.05411935403381893
1,1,27000,-0.18774464426893842,0.34547540097177504
1,2,27000,0.036847010003538835,0.3487576235528283
2,0,27000,0.1258461492622918,-0.1479283385295345
2,1,27000,1.9467580096599602,0.10396465363544725
2,2,27000,0.6070601275832403,1.4762243150240477
0,0,28000,0.7093911038709831,-0.708570297610591
0,1,28000,0.050109890369181356,-0.14100530576319095
0,2,28000,-0.05124368931002772,1.5836118631392984
1,0,28000,-0.03637632589316533,0.011622755243679127
1,1,28000,-0.09914098295677148,0.2477845848750443
1,2,28000,-0.28313649023311144,0.14265782682803893
