Gate_1,Gate_2,Delay,Fidelity
1,1,44000,0.5058691154250962
1,2,44000,0.4231298788257999
2,0,44000,0.27249062702602006
2,1,44000,0.27710480375840724
2,2,44000,0.26985074619230115
0,0,45000,0.30831256683824104
0,1,45000,0.311234190163662
0,2,45000,0.2927043716248133
1,0,45000,0.2885682431523085
1,1,45000,0.29447524990825535
1,2,45000,0.6391592553590181
2,0,45000,0.305011434932075
2,1,45000,0.2773279771817388
2,2,45000,0.2842046876500381
0,0,46000,0.28187495699684056
0,1,46000,0.5914257151656294
0,2,46000,0.29789919160112893
1,0,46000,0.6506429948245503
1,1,46000,0.2961801331713963
1,2,46000,0.6125707481545816
2,0,46000,0.2675244569161555
2,1,46000,0.2787186181165461
2,2,46000,0.24294325299145303
0,0,47000,0.35442837798994753
0,1,47000,0.27622506683439135
0,2,47000,0.593243901911389
1,0,47000,0.6266108919999507
1,1,47000,0.427803257304709
1,2,47000,0.2818114164922532
2,0,47000,0.29898498979547505
2,1,47000,0.24001086770297114
2,2,47000,0.27424488737160185
0,0,48000,0.29402041048053984
0,1,48000,0.6473111208522124
0,2,48000,0.291717525984787
1,0,48000,0.5519926815906143
1,1,48000,0.6154410050169918
1,2,48000,0.6332453321509444
2,0,48000,0.26975319418815946
2,1,48000,0.2745008550618687
2,2,48000,0.25828947367500504
0,0,49000,0.614246242442997
0,1,49000,0.2672840576579877
0,2,49000,0.2899649763160376
1,0,49000,0.34986120485514466
1,1,49000,0.6341796513042017
1,2,49000,0.2813316513111161
2,0,49000,0.23332240663696024
2,1,49000,0.25140688258949806
2,2,49000,0.2401986417885891
0,0,50000,0.25208797222576557
0,1,50000,0.6246309595871467
0,2,50000,0.3048082514827416
1,0,50000,0.34666127336638924
1,1,50000,0.2559260266742716
1,2,50000,0.28158745572906757
2,0,50000,0.28147888100800544
2,1,50000,0.2238895066959821
2,2,50000,0.2518764528669467
0,0,51000,0.5493973855699996
0,1,51000,0.5830645093708308
0,2,51000,0.299538022760104
1,0,51000,0.26793452115541283
1,1,51000,0.2547696028024896
1,2,51000,0.4879476999234051
2,0,51000,0.22313785324311897
2,1,51000,0.2210725056736219
2,2,51000,0.27511580016413184
0,0,52000,0.2460817143018476
0,1,52000,0.2422784007135616
0,2,52000,0.24124677615342446
1,0,52000,0.6249903624529101
1,1,52000,0.5538472917895808
1,2,52000,0.3800032296271254
2,0,52000,0.2386910494794872
2,1,52000,0.22605202196364915
2,2,52000,0.2568322242809168
0,0,53000,0.23530195279327917
0,1,53000,0.24008619755732857
0,2,53000,0.5672553745282349
1,0,53000,0.32923950481519587
1,1,53000,0.36592257454705096
1,2,53000,0.23766931720522283
2,0,53000,0.21439334588555908
2,1,53000,0.23040252334223105
2,2,53000,0.22803128143372595
0,0,54000,0.6078877328371514
0,1,54000,0.5907894723002045
0,2,54000,0.6059115369152733
1,0,54000,0.22801453479641035
1,1,54000,0.25217055989135584
1,2,54000,0.21431875585796847
2,0,54000,0.23404494536237777
2,1,54000,0.25363458764511354
2,2,54000,0.22157373468839517
0,0,55000,0.6062632987959617
0,1,55000,0.24494594843749296
0,2,55000,0.5914884666053851
1,0,55000,0.24204024535687563
1,1,55000,0.43404243364593903
1,2,55000,0.6269864123190103
2,0,55000,0.21876289205460567
2,1,55000,0.2475177357268342
2,2,55000,0.23644962488909502
0,0,56000,0.43203687132254953
0,1,56000,0.23722614749029552
0,2,56000,0.4135452880737125
1,0,56000,0.6173654507067672
1,1,56000,0.35032865006338226
1,2,56000,0.2355861907514853
2,0,56000,0.22148349256044791
2,1,56000,0.21924700021051455
2,2,56000,0.19946166377994343
0,0,57000,0.21864095429084876
0,1,57000,0.22348252874744617
0,2,57000,0.4076217458650028
1,0,57000,0.5166371092757421
1,1,57000,0.42365576656630133
1,2,57000,0.6070755454141746
2,0,57000,0.2122965341503803
2,1,57000,0.232405461025695
2,2,57000,0.21763799543093146
0,0,58000,0.1846166033916116
0,1,58000,0.2776987849320728
0,2,58000,0.25146385532236665
1,0,58000,0.5239907271707983
1,1,58000,0.20069669312152794
1,2,58000,0.6175279094490322
2,0,58000,0.21158537753608453
2,1,58000,0.2111428447254919
2,2,58000,0.2121308535817866
0,0,59000,0.5695831791729051
0,1,59000,0.568797203692749
0,2,59000,0.21705421161232752
1,0,59000,0.3261151387037698
1,1,59000,0.19327531498920672
1,2,59000,0.24699570421185443
2,0,59000,0.20300641523134133
2,1,59000,0.23069189572469878
2,2,59000,0.20651157443508344
0,0,60000,0.20872991806229801
0,1,60000,0.2184651614186323
0,2,60000,0.19976445954822716
1,0,60000,0.2019201367530935
1,1,60000,0.2848782101995719
1,2,60000,0.20784262850652707
2,0,60000,0.21440970827531325
2,1,60000,0.19720411151062933
2,2,60000,0.2272724120826678
0,0,61000,0.5303516876458457
0,1,61000,0.39808660217385394
0,2,61000,0.22947027534277328
1,0,61000,0.1962781302213529
1,1,61000,0.21750687346215145
1,2,61000,0.19765547185946203
2,0,61000,0.20676832759028096
2,1,61000,0.21013134903801065
2,2,61000,0.19695487762406924
0,0,62000,0.19209903853533591
0,1,62000,0.5840574855245269
0,2,62000,0.18866306779587272
1,0,62000,0.19803872861016097
1,1,62000,0.6208747868873502
1,2,62000,0.37621352225954696
2,0,62000,0.20803442154900723
2,1,62000,0.1872989521184856
2,2,62000,0.20629882812500008
0,0,63000,0.46015403872166305
0,1,63000,0.17720424078899896
0,2,63000,0.21452255781367432
1,0,63000,0.383645058963324
1,1,63000,0.21549475887850328
1,2,63000,0.3620661720857032
2,0,63000,0.18657836893510557
2,1,63000,0.20038818853511287
2,2,63000,0.19854904260205616
0,0,64000,0.1764118314183499
0,1,64000,0.19791448924543228
0,2,64000,0.19648582111847837
1,0,64000,0.1983623763163148
1,1,64000,0.16727891654898433
1,2,64000,0.19765837925102814
2,0,64000,0.21484346808204333
2,1,64000,0.21734907886644644
2,2,64000,0.19782663435982906
0,0,65000,0.2208975620918948
0,1,65000,0.5680243421676349
0,2,65000,0.5622336619059483
1,0,65000,0.21950660001035346
1,1,65000,0.614941909631516
1,2,65000,0.18951083054906992
2,0,65000,0.18302849969356558
2,1,65000,0.19729264439452893
2,2,65000,0.1890790303544649
0,0,66000,0.5494426040194277
0,1,66000,0.2121308535817866
0,2,66000,0.5191888374312561
1,0,66000,0.18454351259144183
1,1,66000,0.563032658996309
1,2,66000,0.541052802609458
2,0,66000,0.19396336361077332
2,1,66000,0.1796369731222038
2,2,66000,0.19293194974221478
0,0,67000,0.2321406710361175
0,1,67000,0.17724609375
