Gate_1,Gate_2,Delay,Fidelity
1,0,10000,0.7236073220181746
1,1,10000,0.736565903586813
1,2,10000,0.7047411884221878
2,0,10000,0.7290352020960964
2,1,10000,0.7450554046961428
2,2,10000,0.7155134319259046
0,0,11000,0.6833420638632177
0,1,11000,0.6949561233362517
0,2,11000,0.6770359809347402
1,0,11000,0.6932119079392298
1,1,11000,0.6743757093045621
1,2,11000,0.6822964516223801
2,0,11000,0.6943594681506366
2,1,11000,0.7048486085786978
2,2,11000,0.6853371358351212
0,0,12000,0.6588783821203127
0,1,12000,0.677527655702292
0,2,12000,0.6897431158055113
1,0,12000,0.6799847770818421
1,1,12000,0.7196497870601242
1,2,12000,0.6725311175788509
2,0,12000,0.6567118261227992
2,1,12000,0.6714486767243291
2,2,12000,0.6648479909084103
0,0,13000,0.6349683318283794
0,1,13000,0.6405408896189005
0,2,13000,0.6869645584053123
1,0,13000,0.6531201473697761
1,1,13000,0.6554188121427151
1,2,13000,0.6584443241564373
2,0,13000,0.6481501027620112
2,1,13000,0.6606435946476051
2,2,13000,0.6434912036007349
0,0,14000,0.6311560139274776
0,1,14000,0.6276243374918257
0,2,14000,0.631255081368743
1,0,14000,0.6540996298775249
1,1,14000,0.6268738940803675
1,2,14000,0.626800493257236
2,0,14000,0.6321717503447383
2,1,14000,0.6246986641513272
2,2,14000,0.6482888757385205
0,0,15000,0.6269844567642784
0,1,15000,0.626271237030605
0,2,15000,0.6477467575716576
1,0,15000,0.6040790422446451
1,1,15000,0.6274677122801683
1,2,15000,0.6256233533111131
2,0,15000,0.5814496036484428
2,1,15000,0.6214599339665946
2,2,15000,0.6005572135204622
0,0,16000,0.5952855665072441
0,1,16000,0.6147292217167503
0,2,16000,0.5992124282181193
1,0,16000,0.5828796658043199
1,1,16000,0.6178276577701681
1,2,16000,0.585923604512465
2,0,16000,0.6199514383896859
2,1,16000,0.6219342123467407
2,2,16000,0.5923638882778725
0,0,17000,0.5892493592005063
0,1,17000,0.5908630003579467
0,2,17000,0.5993679470346572
1,0,17000,0.591192480123973
1,1,17000,0.6097935176579381
1,2,17000,0.5756825444328392
2,0,17000,0.5888630957257552
2,1,17000,0.5924872957345291
2,2,17000,0.6012995872143856
0,0,18000,0.5522441483986549
0,1,18000,0.554644754001009
0,2,18000,0.5570044017317263
1,0,18000,0.526465805804149
1,1,18000,0.5640208986345295
1,2,18000,0.5706536091539823
2,0,18000,0.5934494515207515
2,1,18000,0.5589485812447264
2,2,18000,0.5880262238132831
0,0,19000,0.5590597032594352
0,1,19000,0.5718269083254618
0,2,19000,0.5356068803818458
1,0,19000,0.5657876131198241
1,1,19000,0.5588144787817629
1,2,19000,0.5428164795649777
2,0,19000,0.5626479159402762
2,1,19000,0.5666835914924945
2,2,19000,0.5462218209581742
0,0,20000,0.5635770430317489
0,1,20000,0.51926192297457
0,2,20000,0.524762386898352
1,0,20000,0.5087981567526829
1,1,20000,0.5297820891373584
1,2,20000,0.5283605796951304
2,0,20000,0.518846358488944
2,1,20000,0.5037941647086573
2,2,20000,0.5559071164432682
0,0,21000,0.5255729751205102
0,1,21000,0.5185405632401188
0,2,21000,0.5363946012044586
1,0,21000,0.5400468070184828
1,1,21000,0.5400236920612349
1,2,21000,0.5251415018613852
2,0,21000,0.5514053017239688
2,1,21000,0.520326617869935
2,2,21000,0.520100015938528
0,0,22000,0.49378147288686924
0,1,22000,0.5201324043083728
0,2,22000,0.48800213517184793
1,0,22000,0.4974865726476143
1,1,22000,0.49829835020367574
1,2,22000,0.50228141849215
2,0,22000,0.5401418171158631
2,1,22000,0.5009745194732759
2,2,22000,0.5583220589207311
0,0,23000,0.5115454739246028
0,1,23000,0.49634734188917345
0,2,23000,0.5152584960935626
1,0,23000,0.4993758080651406
1,1,23000,0.5093008176044416
1,2,23000,0.4768488810767913
2,0,23000,0.49149883991942345
2,1,23000,0.4962431007854629
2,2,23000,0.4864022699651125
0,0,24000,0.4811120403399637
0,1,24000,0.49144071645161685
0,2,24000,0.48819381865820705
1,0,24000,0.4857056065143894
1,1,24000,0.49845565492145394
