Gate_1,Gate_2,Delay,Fidelity
1,0,15000,0.6572616620979302
1,1,15000,0.6083170445161235
1,2,15000,0.6348553013571888
2,0,15000,0.6313459549164391
2,1,15000,0.6035361245366098
2,2,15000,0.6168828208371379
0,0,16000,0.6024122799753676
0,1,16000,0.5829729831366861
0,2,16000,0.5957210556123389
1,0,16000,0.6143912042919678
1,1,16000,0.6051087143106874
1,2,16000,0.5840561430865105
2,0,16000,0.5646929824195202
2,1,16000,0.6149124199626287
2,2,16000,0.5915870788586453
0,0,17000,0.5892493592005063
0,1,17000,0.563904151487656
0,2,17000,0.5844685182402842
1,0,17000,0.5894420550903264
1,1,17000,0.59712159156897
1,2,17000,0.5678404297134956
2,0,17000,0.6053163691319718
2,1,17000,0.6203560206689195
2,2,17000,0.5880466596912717
0,0,18000,0.5689102363118796
0,1,18000,0.5785906661000101
0,2,18000,0.6067587637470431
1,0,18000,0.5855399494547071
1,1,18000,0.5798892913676247
1,2,18000,0.5512377837553988
2,0,18000,0.6047073663070519
2,1,18000,0.5646087260331076
2,2,18000,0.5908203125000001
0,0,19000,0.5761996003371697
0,1,19000,0.5543823168810298
0,2,19000,0.5555009287793449
1,0,19000,0.5660266478954743
1,1,19000,0.5606033914661583
1,2,19000,0.5487893637267042
2,0,19000,0.5438207490593528
2,1,19000,0.5507105299728885
2,2,19000,0.5319475421004142
0,0,20000,0.545648863418497
0,1,20000,0.5213010711073812
0,2,20000,0.5289514628527268
1,0,20000,0.5214512688086348
1,1,20000,0.5443706780605619
1,2,20000,0.5399699285193966
2,0,20000,0.531622113505671
2,1,20000,0.5500137925398793
2,2,20000,0.5337706939766385
0,0,21000,0.5253022387213692
0,1,21000,0.5178221361760639
0,2,21000,0.5242695503667215
1,0,21000,0.5296504331069619
1,1,21000,0.5166118418774704
1,2,21000,0.5173288553136793
2,0,21000,0.5071619164902805
2,1,21000,0.5176472111570825
2,2,21000,0.5103721078798338
0,0,22000,0.5168631055929447
0,1,22000,0.5238372091329151
0,2,22000,0.490053077536904
1,0,22000,0.5239012155239563
1,1,22000,0.521562202430633
1,2,22000,0.5169328798562453
2,0,22000,0.5270201771618397
2,1,22000,0.5228831142006792
2,2,22000,0.5058588620989615
0,0,23000,0.5026499134956689
0,1,23000,0.5042442414442002
0,2,23000,0.5140508969928611
1,0,23000,0.484632999707022
1,1,23000,0.4982641172068019
1,2,23000,0.510978121572555
2,0,23000,0.48361002363004396
2,1,23000,0.4684841538212754
2,2,23000,0.5148920575687048
0,0,24000,0.5082640314591026
0,1,24000,0.47824376363399124
0,2,24000,0.43982423174731394
1,0,24000,0.48689479129622487
1,1,24000,0.4944546785976801
1,2,24000,0.49576886494866246
2,0,24000,0.49810881275270563
2,1,24000,0.4780582660533059
2,2,24000,0.506772047481747
0,0,25000,0.4655219735945023
0,1,25000,0.48306570790762676
0,2,25000,0.48102163139698006
1,0,25000,0.4618168026361946
1,1,25000,0.457569839010005
1,2,25000,0.4781066954101481
2,0,25000,0.45126059575159644
2,1,25000,0.47851562499999994
2,2,25000,0.4678191238463859
0,0,26000,0.4481008476990786
