Gate_1,Gate_2,Delay,Fidelity,θ1,θ2,θ3,θ4,θ5
0,0,11000,0.6731061976536252,0.2917375343664736,1.2180290004826988,0.03197829461076159,0.7389153887586136,1.308112931722275
0,1,11000,0.7353312166629391,1.14253440402043,1.476191164503779,2.1838860108569844,3.2322630430853247,2.0217760286075945
0,2,11000,0.6891158606565806,1.7877010385323235,0.8010560675278311,1.8550096803348122,0.44612075256496553,0.029920381043098722
1,0,11000,0.7824958743994511,3.9732594464224764,2.126389534591218,2.536216979632589,2.065034695425415,3.716036755257093
1,1,11000,0.7285812566264447,0.5245291117124476,1.8676714662570286,0.17545717825221518,1.713826009635958,0.40863153242554173
1,2,11000,0.6972346212798939,1.8412918353780134,1.2166350346087715,0.9319748143320139,0.6182407111732932,1.7658541853729626
2,0,11000,0.682372636554332,1.846131369939726,1.6607979033067246,0.9368543437596786,0.8691761148525922,0.42144774468085655
2,1,11000,0.689201625792251,0.5819667885900339,1.0455272307734869,1.1453806131564537,-0.01321622999742379,0.4293316797709545
2,2,11000,0.6633283885654444,1.7109837743738212,0.8082220688570015,0.3808966068833014,0.38795138771664395,0.22177113112552038
0,0,12000,0.6345510290816146,2.3769078640952417,0.021036014625240008,0.6433574188340251,-0.14697024860964988,1.8677298653071448
0,1,12000,0.6757644121593542,0.7986232264065038,2.469644008429551,-0.3720316738393676,2.436916680882567,0.46724361552108373
0,2,12000,0.6667681814709939,0.4325790038449818,0.8432730436775981,0.6203585899643307,1.106005689440909,1.1127158687851137
1,0,12000,0.7086652301728894,2.2161319621523083,2.47975003364523,0.687428924724635,-0.6521306429550238,1.9452257431953783
1,1,12000,0.7100208147522176,0.00297279745060348,0.13850305128954185,2.2428359004142973,2.4424573572770782,2.2296788131296337
1,2,12000,0.664553000701056,1.1153537761922743,0.18155521614194692,1.8097973126746094,0.23130456693629015,1.7617875001749033
2,0,12000,0.6426126303547802,0.9502575776390689,0.8615780587394023,0.5200726565741101,0.6980302249908141,0.021016792048528243
2,1,12000,0.649455795565802,0.6274277885247411,1.9663114021138224,0.5631901668749677,0.13958389942698005,0.43335498789686683
2,2,12000,0.6334427169590247,1.349191588358612,0.0903805921547479,-0.096519096805563,-0.5117543219058627,-0.5987854896693767
0,0,13000,0.6623220593430895,0.3823647566393413,1.922769206250383,1.825612262520314,-0.5492811062185692,0.43520939325203045
0,1,13000,0.759785226813955,2.4071969502319446,0.7478187927714425,3.0007907038235717,2.699577600234994,2.9561759814365827
0,2,13000,0.7526134501705569,2.465271409512529,1.7461607926315321,1.9640359904210625,3.5028858986529996,1.691100951473762
1,0,13000,0.8156479267943826,2.3251076318610315,2.9260352599583372,2.991937638703267,2.7248750992971242,2.5376113909691744
1,1,13000,0.6288074231134517,1.4344179971194315,0.007432163619359896,1.2071008784988557,0.07110961727540603,1.652947132098545
1,2,13000,0.6310541493137132,0.6892262668047947,0.5618664387226409,0.9209623620102219,0.8380732825503506,0.6489728904663231
2,0,13000,0.6581526339928078,-0.28255249651358705,1.37058868939174,0.1951461668413576,-0.30312648385755375,-0.14816329397125558
2,1,13000,0.6236293773338413,0.2820372505129476,1.5733705684172556,0.7505290915180945,0.5692608843682495,0.029800690429759323
