Gate_1,Gate_2,Delay,Fidelity
0,0,22000,0.4342362055007099
0,1,22000,0.4428121399415679
0,2,22000,0.45093749977023145
1,0,22000,0.4302352425609664
1,1,22000,0.4327104782737405
1,2,22000,0.4516171693037521
2,0,22000,0.43282578189114657
2,1,22000,0.4504045729752369
2,2,22000,0.4630367549055611
0,0,23000,0.407090694772875
0,1,23000,0.44604364587482936
0,2,23000,0.42598074026404326
1,0,23000,0.41114501914980417
1,1,23000,0.4381570580157687
1,2,23000,0.4159261670611679
2,0,23000,0.4250528231137897
2,1,23000,0.44933321269276083
2,2,23000,0.41860026676049794
0,0,24000,0.41808245151479934
0,1,24000,0.4458229746765866
0,2,24000,0.43677045034777034
1,0,24000,0.4292602447390589
1,1,24000,0.4507623341616275
1,2,24000,0.44005752440640067
2,0,24000,0.42306574223219146
2,1,24000,0.42820844108294864
2,2,24000,0.41496396321278783
0,0,25000,0.4107301439929708
0,1,25000,0.4362498889017543
0,2,25000,0.3976708068918511
1,0,25000,0.41797772555608076
1,1,25000,0.3710456148492311
1,2,25000,0.41037585232957524
2,0,25000,0.4235551560818888
2,1,25000,0.426004463217935
2,2,25000,0.43311806636823247
0,0,26000,0.3931622611986755
0,1,26000,0.39291575663472356
0,2,26000,0.41117904572743286
1,0,26000,0.4028598586970166
1,1,26000,0.3997329160894438
1,2,26000,0.39132242614712676
2,0,26000,0.35400390625000006
2,1,26000,0.38165825264106884
2,2,26000,0.41157682159256226
0,0,27000,0.39161900031459085
0,1,27000,0.4070407154578428
0,2,27000,0.3593906406236067
1,0,27000,0.41093037986794967
1,1,27000,0.3989109842823104
1,2,27000,0.4071044540643506
2,0,27000,0.39219362262851193
2,1,27000,0.37113312325279807
2,2,27000,0.3881191611561863
0,0,28000,0.3716264148975593
0,1,28000,0.34355960474710073
0,2,28000,0.36461893359599823
1,0,28000,0.35666813249160834
1,1,28000,0.38505772135896127
1,2,28000,0.3952336573332169
2,0,28000,0.3868551317312881
2,1,28000,0.3890318973783377
2,2,28000,0.3421951385812022
0,0,29000,0.36734279418539995
0,1,29000,0.37388915974521114
0,2,29000,0.35812292403525936
1,0,29000,0.3693924872704617
1,1,29000,0.3550886136329033
1,2,29000,0.39323555944404315
2,0,29000,0.39818226175539667
2,1,29000,0.3722737584805405
2,2,29000,0.3573337765956203
0,0,30000,0.34107924347234103
0,1,30000,0.3531593919204658
0,2,30000,0.3558328738890021
1,0,30000,0.3504815469229409
1,1,30000,0.3650277905032587
1,2,30000,0.3669632301801122
2,0,30000,0.3362188999186712
2,1,30000,0.34705180496308896
2,2,30000,0.3435622986471364
0,0,31000,0.3500366102526917
