Gate_1,Gate_2,Delay,Fidelity,θ1,θ2,θ3,θ4,θ5,θ1',θ2',θ3',θ4',θ5'
2,2,2000,0.8841210580193783,0.551271878180961,1.1801306629028594,0.1552440033209946,1.6301931795793996,0.6110807835544381,0.03165910169848489,0.8603115028192503,0.05908157255288609,0.5101609948627289,0.7930301860759459
0,0,3000,0.7685122976641059,-0.5210813652842788,0.033290507940096296,0.2667148281835349,0.15888146419742347,-0.20188421717536412,0.4082542239559884,-0.10628696536499728,-0.2014572263314719,-0.4859344052190483,0.3460027581070025
0,1,3000,0.7464687783631105,0.3588875858759708,-0.2511255610539998,0.03242161877080658,0.05535946907011249,-0.316572800934615,0.2212423714663213,-0.10268326227930663,0.08493079572227583,-0.017713126328389353,0.15913254762156076
0,2,3000,0.8482968851567534,0.06338714149293792,-0.1281708455183748,0.06895107484322241,-0.30220994148885566,-0.04682798680229298,1.0426268445527864,0.5219777607458521,0.5070150067892698,1.5000450255932334,0.8397756142007741
1,0,3000,0.7409588128179431,0.0981787990064628,0.09141413014250474,0.08595499660310278,-0.020516647511784135,-0.3934939198353374,-0.09242622358481259,0.014315361361977934,-0.04454618447199024,0.14082573407812798,0.47227565122710097
1,1,3000,0.8174019113719917,-0.4324140305529248,0.1326445528963912,-0.15926957900796604,0.7410190083003159,-0.09380910249819564,0.6345443157332141,-0.3352214598786211,0.2510649512690347,-0.5781923388676208,0.13508454460477715
1,2,3000,0.8361995390168021,0.053630136153394126,-0.046896176161966764,-0.14577616139418095,0.059011358811898715,0.021620368840949918,1.6448653054881404,0.6678379978985503,0.7161761127265885,0.7751660333799987,1.598938482129627
2,0,3000,0.8053284266875469,1.3533324167732028,0.4931587361437159,1.5979896537481328,0.8649726413433687,0.7632796615662997,-0.20118002796437182,0.20219172883312464,-0.17987071742188995,0.10761805375552784,0.16712936633972594
2,1,3000,0.8341657073060044,2.04895606348597,0.45030955244291954,0.021333608461269096,0.08250826215309522,-0.2530382996755812,-0.27658095676053085,-0.004781526442377444,0.15563049194764492,0.03234616140905909,0.06729046147241
2,2,3000,0.865523185266644,1.7224005490843564,1.9157076340312809,0.02447952319446995,1.6779246896475617,1.636518746904969,0.491253308642535,0.19985503933238585,0.7788411112190269,1.7507484404127607,0.06508485719065973
0,0,4000,0.801152988515065,0.025680154521797005,0.13492976850974497,0.11526667500538143,-0.4345899083575191,-0.8193679330710439,0.033084554205979305,-0.21362377370892044,-0.15656469036649628,0.36934644086839946,0.9539195422463401
0,1,4000,0.6995040533430148,-0.3822880093203556,-0.23845726858618416,0.040260802400724285,-0.2934890418656258,0.25148858773191196,0.2873525025775281,-0.006459224800603116,0.22726759211095698,0.10024525466436286,-0.0009032655759600948
0,2,4000,0.8127801489282152,0.03320997743678464,0.009950025811585635,-0.032509537575281924,0.033488103080396805,0.0706428352975825,2.1076356735120747,0.18397421646281628,-0.1792378977503847,-0.10771578061929515,0.6900716715356361
1,0,4000,0.7611790513600325,0.11173084607050934,-0.007184669061125032,0.035710473649421086,0.16956809642129572,-0.24309876945916126,0.05348546658326581,-0.42195180865863546,-0.0013942795008437048,-0.043743345335858635,-0.13158208018451575
1,1,4000,0.8058696070848949,-0.1534171427706841,-0.1785774127242303,-0.11002999085437348,-0.6951167204834107,0.10871978149798323,0.1496665919109317,0.3466535920813674,0.07565771051343967,0.9238571540060955,-0.20141142411090915
1,2,4000,0.8021432660431811,0.0972746459191882,-0.10906790867513189,-0.029955224263723684,0.1475028089318571,-0.14141658833472828,1.6611816385493972,0.031065853517994808,0.3509982307719991,0.3471359046010293,0.32872799464758773
2,0,4000,0.7962247081371074,0.47585325612324386,1.0279767153610204,1.1101605841850526,0.7867615747531638,0.8689822546008115,-0.029321872576555757,0.21287441870398663,-0.1256907837606076,0.09653332365471877,-0.31094420147215995
2,1,4000,0.8104137552293748,1.6153390437509851,-0.11254649838486341,1.2766534253393431,-0.31005657130456876,0.3283681253037568,0.0563282581465494,0.10504331414634387,0.12046338983021392,0.22107065103805495,0.13093044813189383
